year,gainer,procedure,entity,area,pop,loser
1867,Germany,Unification,Oldenburg,6291,295242,Oldenburg
1867,Germany,Unification,Saxe Weimar,9407,742907,Saxe Weimar
1867,Germany,Unification,Schwartzburg Sonderhausen,1121,58604,Schwartzburg Sonderhausen
1867,Germany,Unification,Saxony,14939,2337192,Saxony
1867,Germany,Unification,Schwartzburg Rodolstadt,329,49482,Schwartzburg Rodolstadt
1867,Germany,Unification,Hesse Grand Ducal,8386,853315,Hesse Grand Ducal
1867,Germany,Unification,Mecklenburg Schwerin,13442,552612,Mecklenburg Schwerin
1867,United States of America,Cession,Alaska,1518775,54000,Russia
1867,France,Conquest,Cochin China,33864,477000,Vietnam
1867,Luxembourg,Secession,Luxembourg,2567,203851,Netherlands
1868,United Kingdom,Annexation,Lesotho,21885,127700,Lesotho
1868,Russia,Conquest,Tajikistan,156000,2000000,Tajikistan
1870,Brazil,Cession,Paraguay,65000,0,Paraguay
1870,Italy,Unification,Papal States,11790,723161,Papal States
1871,United Kingdom,Cession,Ghana,27534,120000,Netherlands
1871,Germany,Cession,France,14452,1549459,France
1871,Germany,Unification,Bavaria,76073,4824421,Bavaria
1871,Germany,Unification,Baden,15311,1434970,Baden
1871,Germany,Unification,Wuerttemburg,50526,1778479,Wuerttemburg
1871,Turkey,Conquest,Asir,104338,0,Asir
1871,Russia,Annexation,China,42900,0,China
1872,Turkey,Conquest,Yemen Arab Republic,195000,2000000,Yemen Arab Republic
1872,Turkey,Annexation,Qatar,11000,22500,Qatar
1873,Russia,Conquest,Kyrgyzstan,92463,110000,Kyrgyzstan
1874,Argentina,Cession,Paraguay,117000,0,Paraguay
1874,France,Conquest,Cochin China,33864,477000,Vietnam
1874,United Kingdom,Annexation,Fiji,18272,148040,Fiji
1875,Portugal,Cession,Mozambique,650,0,United Kingdom
1875,Japan,Cession,Russia,4973,72,Russia
1875,Turkey,Conquest,Al Hasa,107120,0,Al Hasa
1875,Russia,Cession,Japan,32348,2358,Japan
1876,Russia,Conquest,Turkmenistan,728000,0,Turkmenistan
1877,United Kingdom,Annexation,Transvaal,285363,815000,Transvaal
1878,Montenegro,Secession,Montenegro,4584,195585,Turkey
1878,Paraguay,Cession,Argentina,1,10,Argentina
1878,Russia,Cession,Romania,9274,127000,Romania
1878,Austria-Hungary,Mandated territory,Bosnia and Herzegovina,42520,862202,Turkey
1878,Russia,Cession,Turkey,25769,236600,Turkey
1878,Austria-Hungary,Mandated territory,Herzegovina,20280,349970,Turkey
1878,Romania,Cession,Turkey,15372,357000,Turkey
1878,Yugoslavia,Cession,Turkey,11097,222732,Turkey
1878,United Kingdom,Cession,Cyprus,9251,186084,Turkey
1878,Montenegro,Cession,Turkey,4610,100000,Turkey
1878,Austria-Hungary,Cession,Albania,35,2000,Turkey
1878,Romania,Secession,Romania,118213,5073000,Turkey
1878,Yugoslavia,Secession,Yugoslavia,42994,1352522,Turkey
1879,Egypt,Conquest,Ethiopia,468000,325000,Ethiopia
1880,Transvaal,Independence,Transvaal,285363,815000,United Kingdom
1880,Turkey,Cession,Montenegro,1,200,Montenegro
1880,Montenegro,Cession,Turkey,520,0,Turkey
1881,Argentina,Cession,Chile,1,10,Chile
1881,Chile,Cession,Argentina,1,0,Argentina
1881,China,Cession,Russia,42900,0,Russia
1881,France,Conquest,Tunisia,116348,2100000,Tunisia
1881,Greece,Cession,Turkey,13364,293000,Turkey
1882,United Kingdom,Conquest,Egypt,1021081,6806381,Egypt
1883,Chile,Conquest,Peru,51480,20000,Peru
1883,France,Annexation,Vietnam,90000,9000000,Vietnam
1884,Sudan,Independence,Sudan,2658063,11000000,United Kingdom
1884,Chile,Conquest,Bolivia,50215,14000,Bolivia
1884,United Kingdom,Cession,Transvaal,19500,0,Transvaal
1884,Ethiopia,Cession,Ethiopia,468000,0,Egypt
1885,Portugal,Cession,Democratic Republic of the Congo,7298,0,Belgium
1885,France,Cession,Madagascar,250,12237,Madagascar
1886,Portugal,Cession,Mozambique,6000,0,Zanzibar
1886,United Kingdom,Conquest,Myanmar,492000,4000000,Myanmar
1887,United Kingdom,Cession,Kenya,7020,0,Zanzibar
1887,United Kingdom,Annexation,Maldives,298,30000,Maldives
1888,Germany,Cession,Tanzania,52000,0,Zanzibar
1888,United Kingdom,Annexation,Brunei,5765,45000,Brunei
1889,Italy,Conquest,Somalia,259000,400000,Zanzibar
1889,United Kingdom,Cession,Somalia,10000,0,Zanzibar
1889,United Kingdom,Annexation,Federated Malay States,7334,0,Federated Malay States
1890,Germany,Cession,Namibia,18200,0,United Kingdom
1890,Germany,Cession,Heligoland,2,2001,United Kingdom
1890,United Kingdom,Cession,Kenya,3120,0,Germany
1890,United Kingdom,Annexation,Zanzibar,2642,150000,Zanzibar
1890,United Kingdom,Annexation,Swaziland,17363,55000,Swaziland
1890,United Kingdom,Cession,Sikkim,7298,30458,Sikkim
1891,Portugal,Cession,Democratic Republic of the Congo,1,0,Belgium
1891,Belgium,Cession,Angola,1,0,Portugal
1892,Italy,Cession,Somalia,10000,0,United Kingdom
1892,United Kingdom,Cession,United Arab Emirates,92100,0,United Arab Emirates
1893,Transvaal,Cession,Swaziland,17363,55000,United Kingdom
1893,United Kingdom,Cession,Afghanistan,104980,0,Afghanistan
1893,France,Conquest,Laos,255000,600000,Laos
1894,France,Cession,Democratic Republic of the Congo,1,0,Belgium
1895,Brazil,Cession,Paraguay,13000,0,Paraguay
1895,Russia,Cession,Manchukuo,26000,0,Afghanistan
1895,Japan,Conquest,Taiwan,35763,2781272,China
1896,France,Conquest,Madagascar,590000,3500000,Madagascar
1897,Mexico,Conquest,French Polynesia,5,0,France
1897,United Kingdom,Cession,Sudan,1,0,Italy
1897,Turkey,Cession,Greece,1,200,Greece
1897,United Kingdom,Cession,Ethiopia,20720,0,Ethiopia
1898,United States of America,Annexation,Hawaii,16638,109020,Hawaii
1898,France,Cession,French West Africa,13000,0,United Kingdom
1898,United Kingdom,Cession,Nigeria,71500,0,France
1898,United States of America,Cession,Philippines,299404,7000000,Spain
1898,United States of America,Cession,Cuba,114525,1572797,Spain
1898,United States of America,Cession,Puerto Rico,8860,953243,Spain
1898,United States of America,Cession,Guam,541,9000,Spain
1898,United Kingdom,Conquest,Crete,8614,294190,Turkey
1898,Russia,Cession,China,3170,250000,China
1898,United Kingdom,Cession,Hong Kong,953,100000,China
1898,United Kingdom,Cession,China,738,150000,China
1899,United Kingdom,Cession,Venezuela,155400,0,Venezuela
1899,Venezuela,Cession,Guyana,1,0,United Kingdom
1899,Germany,Cession,Ghana,1,0,United Kingdom
1899,Germany,Cession,U. S. Pacific Trust Territories,405,15069,Spain
1899,United Kingdom,Cession,Solomon Islands,23310,89000,Germany
1899,United Kingdom,Cession,German Togoland,1,0,Germany
1899,United Kingdom,Conquest,Sudan,2505823,2000000,Sudan
1899,United Kingdom,Annexation,Kuwait,15540,50000,Kuwait
1899,Germany,Cession,Samoa,2823,33000,Samoa
1899,United States of America,Cession,American Samoa,195,4000,Samoa
1900,Russia,Conquest,Manchukuo,939280,5530000,China
1900,United Kingdom,Annexation,Tonga,700,26000,Tonga
1902,Argentina,Cession,Chile,20470,0,Chile
1902,Chile,Cession,Argentina,27708,0,Argentina
1902,United Kingdom,Cession,Ethiopia,292500,0,Ethiopia
1902,United Kingdom,Conquest,Transvaal,286065,1000000,Transvaal
1902,United Kingdom,Conquest,Orange Free State,129153,200000,Orange Free State
1902,Cuba,Independence,Cuba,114525,1572797,United States of America
1903,United States of America,Cession,Panama Canal Zone,1678,21650,Panama
1903,Bolivia,Cession,Brazil,3108,0,Brazil
1903,Brazil,Cession,Bolivia,191000,70000,Bolivia
1903,United States of America,Cession,Canada,1,0,United Kingdom
1903,France,Conquest,Morocco,499870,62000,Morocco
1903,Panama,Secession,Panama,75690,400000,Colombia
1904,Brazil,Cession,Ecuador,67600,0,Ecuador
1904,France,Cession,Guinea,16,0,United Kingdom
1904,France,Cession,French West Africa,1,0,United Kingdom
1904,France,Cession,Senegal,1,0,United Kingdom
1904,Thailand,Cession,French Indochina,6076,0,France
1904,France,Cession,Thailand,20720,0,Thailand
1905,China,Cession,Manchukuo,939280,5530000,Russia
1905,Japan,Cession,Southern Sakhalin I.,32348,9824,Russia
1905,Japan,Cession,China,3253,405680,Russia
1905,Japan,Conquest,Korea,220891,5713244,Korea
1905,Norway,Secession,Norway,323917,2240032,Sweden
1906,Belgium,Cession,Sudan,38850,250000,United Kingdom
1906,United Kingdom,Cession,Israel,1,0,Turkey
1907,Brazil,Cession,Colombia,162500,0,Colombia
1907,Brazil,Cession,Bolivia,65000,0,Bolivia
1907,Thailand,Cession,French Indochina,35641,0,France
1907,France,Conquest,Morocco,100,0,Morocco
1907,France,Cession,Thailand,18130,0,Thailand
1908,Bulgaria,Secession,Bulgaria,96345,4035575,Turkey
1909,Peru,Cession,Bolivia,26000,0,Bolivia
1909,United Kingdom,Cession,,38195,450000,Thailand
1910,Belgium,Cession,Uganda,1,0,United Kingdom
1910,United Kingdom,Cession,Democratic Republic of the Congo,38850,250000,Belgium
1910,Morocco,Cession,Morocco,100,0,France
1910,United Kingdom,Cession,Bhutan,46600,250000,Bhutan
1911,Liberia,Cession,Sierra Leone,800,0,United Kingdom
1911,Germany,Cession,Kamerun,259000,1000000,France
1911,United Kingdom,Cession,Liberia,800,0,Liberia
1912,France,Annexation,Morocco,398523,5400000,Morocco
1912,Spain,Annexation,Spanish Morocco,26000,600000,Morocco
1912,Italy,Conquest,Libya,1051539,523176,Turkey
1912,Italy,Conquest,Dodecanese Is. (Aegean Is.),2681,100198,Turkey
1912,Albania,Secession,Albania,28748,825000,Turkey
1913,Greece,Annexation,Crete,8715,342151,United Kingdom
1913,Yugoslavia,Cession,Bulgaria,27625,1000000,Bulgaria
1913,Greece,Cession,Bulgaria,19110,1703000,Bulgaria
1913,Romania,Cession,Bulgaria,6959,286000,Bulgaria
1913,Saudi Arabia,Conquest,Al Hasa,107120,0,Turkey
1913,Bulgaria,Cession,Turkey,68250,0,Turkey
1913,Greece,Cession,Turkey,24354,1500000,Turkey
1913,Yugoslavia,Cession,Turkey,7020,0,Turkey
1913,Montenegro,Cession,Turkey,5200,0,Turkey
1913,Greece,Cession,Turkey,3771,3000000,Turkey
1914,Asir,Secession,Asir,104338,0,Turkey
1914,Japan,Cession,China,518,168900,Germany
1914,Italy,Conquest,Albania,5,0,Albania
1914,Albania,Cession,Greece,1,0,Greece
1915,Qatar,Secession,Qatar,11000,0,Turkey
1915,United Kingdom,Annexation,Yemen Arab Republic,182,0,Yemen Arab Republic
1916,United States of America,Cession,Nicaragua,10,0,Nicaragua
1916,Spain,Cession,Spanish Morocco,33020,9836,France
1916,United Kingdom,Annexation,Qatar,22014,25000,Qatar
1917,United States of America,Cession,Virgin Islands,342,26051,Denmark
1917,Finland,Secession,Finland,325534,3105000,Russia
1918,Ukraine,Secession,Ukraine,444595,0,Russia
1918,Azerbaijan,Secession,Azerbaijan,84984,2096973,Russia
1918,Georgia,Secession,Georgia,66976,2372403,Russia
1918,Armenia,Secession,Armenia,31057,1214391,Russia
1918,Romania,Cession,Romania,45632,2686600,Russia
1918,Czechoslovakia,Cession,Czechoslovakia,140968,13600000,Austria
1918,Poland,Secession,Poland,263180,15400000,Russia
1918,Lithuania,Secession,Lithuania,154491,2029000,Russia
1918,Latvia,Secession,Latvia,63300,1596000,Russia
1918,Estonia,Secession,Estonia,59984,1107000,Russia
1918,Yemen Arab Republic,Secession,Yemen Arab Republic,195000,1000000,Turkey
1919,Danzig,Cession,Danzig,2056,330252,Germany
1919,Italy,Cession,Tunisia,1,0,France
1919,South Africa,Mandated territory,Namibia,822907,206000,Germany
1919,France,Mandated territory,Cameroon,432012,1500000,Germany
1919,Poland,Cession,Germany,420000,2700000,Germany
1919,France,Cession,French Equatorial Africa,259000,0,Germany
1919,United Kingdom,Mandated territory,British Cameroons,80290,550000,Germany
1919,France,Mandated territory,Togo,56600,500000,Germany
1919,United Kingdom,Mandated territory,British Togoland,32634,188000,Germany
1919,France,Cession,Germany,14514,1874014,Germany
1919,France,Cession,Saar,1945,657870,Germany
1919,Portugal,Cession,Mozambique,1040,0,Germany
1919,Belgium,Cession,Germany,1000,61000,Germany
1919,Australia,Mandated territory,Nauru,21,2120,Germany
1919,Luxembourg,Cession,Germany,3,0,Germany
1919,Poland,Cession,Austria-Hungary,80080,8257505,Austria
1919,Yugoslavia,Cession,Austria-Hungary,53636,1931802,Austria
1919,Italy,Cession,Austria,18941,1178786,Austria
1919,Italy,Cession,Trieste,96,229510,Austria
1919,Greece,Cession,Bulgaria,6400,320000,Bulgaria
1919,Yugoslavia,Cession,Bulgaria,2500,112500,Bulgaria
1919,Hungary,Cession,Hungary,91075,7990000,Austria
1920,Newfoundland,Independence,Newfoundland,421481,265000,United Kingdom
1920,Hejaz Sultanate,Secession,Hejaz Sultanate,259000,750000,Turkey
1920,United Kingdom,Mandated territory,Tanzania,939361,5000000,Germany
1920,Australia,Mandated territory,New Guinea (German New Guinea) (Kaiser Wilhelmsland),240870,400000,Germany
1920,Denmark,Cession,Germany,3800,160000,Germany
1920,New Zealand,Mandated territory,Samoa,2823,41828,Germany
1920,Japan,Mandated territory,U. S. Pacific Trust Territories,2476,70500,Germany
1920,Czechoslovakia,Cession,Poland,528,113500,Poland
1920,Romania,Cession,Hungary,108289,5200000,Hungary
1920,Yugoslavia,Cession,Hungary,71540,4095258,Hungary
1920,Czechoslovakia,Cession,Hungary,53320,2940374,Hungary
1920,Poland,Cession,Czechoslovakia,1009,145241,Czechoslovakia
1920,Yugoslavia,Cession,Trieste,1,1000,Italy
1920,Italy,Cession,Trieste,5271,404309,Yugoslavia
1920,Austria,Cession,Yugoslavia,5055,392431,Yugoslavia
1920,Poland,Cession,Lithuania,29818,2075700,Lithuania
1920,Russia,Conquest,Ukraine,444595,0,Ukraine
1920,Russia,Conquest,Armenia,31057,1214391,Armenia
1920,Russia,Conquest,Georgia,66976,2372403,Georgia
1920,Russia,Conquest,Azerbaijan,84984,2096973,Azerbaijan
1920,United Kingdom,Mandated territory,Iraq,280031,2849282,Turkey
1920,France,Mandated territory,Syria,184920,1969004,Turkey
1920,United Kingdom,Mandated territory,Jordan,89484,200000,Turkey
1920,United Kingdom,Mandated territory,Israel,23310,757182,Turkey
1920,Canada,Independence,Canada,9571661,9235000,United Kingdom
1920,Australia,Independence,Australia,7695094,5426008,United Kingdom
1920,South Africa,Independence,South Africa,1223409,6930727,United Kingdom
1920,New Zealand,Independence,New Zealand,268676,1268046,United Kingdom
1921,Costa Rica,Annexation,Panama,1,100,Panama
1921,Hungary,Cession,Austria,225,39525,Austria
1921,Poland,Cession,Russia,113722,3683568,Russia
1921,Finland,Cession,Sweden,1422,27123,Sweden
1921,Russia,Cession,Turkey,6975,186000,Turkey
1921,Mongolia,Secession,Mongolia,1531000,2400000,China
1922,Colombia,Cession,Venezuela,1,100,Venezuela
1922,Poland,Cession,Germany,3221,893074,Germany
1922,Germany,Cession,Germany,9702,1299127,Poland
1922,China,Cession,China,552,192000,Japan
