year,gainer,procedure,entity,area,pop,loser
1956,Japan,Cession,Russia,500,0,Russia
1956,Sudan,Independence,Sudan,2505823,10300000,United Kingdom
1956,Morocco,Independence,Morocco,380800,8955000,France
1956,Tunisia,Independence,Tunisia,125180,3963000,France
1957,Ghana,Unification,British Togoland,33776,429000,United Kingdom
1957,German Federal Republic,Cession,Saar,2567,992000,France
1957,Ghana,Independence,Ghana,204097,6250000,United Kingdom
1957,Malaysia,Independence,Malaysia,131287,6279000,United Kingdom
1958,Australia,Cession,Cocos (Keeling) Is.,135,3361,United Kingdom
1958,Morocco,Cession,Spanish Morocco,13219,9000,Spain
1958,Egypt,Unification,Syria,1187338,29300000,Syria
1958,Pakistan,Cession,Oman,1,8146,Oman
1958,Pakistan,Cession,India,1,300,India
1958,India,Cession,Pakistan,1,0,Pakistan
1958,Guinea,Independence,Guinea,245857,2896000,France
1960,Mali,Independence,Mali,1401182,7172000,France
1960,Honduras,Cession,Nicaragua,20720,0,Nicaragua
1960,Somalia,Unification,British Somaliland (Somaliland Republic),176120,650000,United Kingdom
1960,Nigeria,Independence,Nigeria,878447,52000000,United Kingdom
1960,Cyprus,Independence,Cyprus,9251,573000,United Kingdom
1960,Democratic Republic of the Congo,Independence,Democratic Republic of the Congo,2344932,14100000,Belgium
1960,Chad,Independence,Chad,1283000,3070000,France
1960,Niger,Independence,Niger,1188794,2876000,France
1960,Mauritania,Independence,Mauritania,1085805,970000,France
1960,Central African Republic,Independence,Central African Republic,626000,1227000,France
1960,Madagascar,Independence,Madagascar,590000,5393000,France
1960,Cameroon,Independence,Cameroon,432012,4700000,France
1960,Congo,Independence,Congo,342000,773000,France
1960,Ivory Coast,Independence,Ivory Coast,322463,3230000,France
1960,Burkina Faso,Independence,Burkina Faso,274200,4400000,France
1960,Gabon,Independence,Gabon,267000,446000,France
1960,Benin,Independence,Benin,115760,2050000,France
1960,Togo,Independence,Togo,56600,1440000,France
1960,Somalia,Independence,Somalia,461541,1330000,Italy
1960,Senegal,Secession,Senegal,197161,3110000,Mali
1961,Nigeria,Unification,British Cameroons,45325,0,United Kingdom
1961,Cameroon,Unification,British Cameroons,42945,840000,United Kingdom
1961,India,Conquest,"Portuguese India (incl. Goa, Diu, Daman)",4193,649660,Portugal
1961,Benin,Conquest,Benin,2,12,Portugal
1961,Nepal,Cession,China,780,31200,China
1961,China,Cession,Myanmar,161,0,Myanmar
1961,Tanzania,Independence,Tanzania,939361,9399000,United Kingdom
1961,Sierra Leone,Independence,Sierra Leone,72326,2252000,United Kingdom
1961,Kuwait,Independence,Kuwait,15540,322000,United Kingdom
1961,Syria,Secession,Syria,184920,4693000,Egypt
1962,Uganda,Independence,Uganda,243411,7016000,United Kingdom
1962,Jamaica,Independence,Jamaica,11424,1661000,United Kingdom
1962,Trinidad and Tobago,Independence,Trinidad and Tobago,5128,900000,United Kingdom
1962,Burundi,Independence,Burundi,27834,3025000,Belgium
1962,Rwanda,Independence,Rwanda,26388,2840000,Belgium
1962,Algeria,Independence,Algeria,2381741,10900000,France
1962,Samoa,Independence,Samoa,2823,116000,New Zealand
1963,Mexico,Cession,United States of America,2,100,United States of America
1963,Malaysia,Unification,Sarawak,124967,778000,United Kingdom
1963,Malaysia,Unification,Sabah (North Borneo),76115,478000,United Kingdom
1963,Malaysia,Unification,Singapore,583,1733000,United Kingdom
1963,Indonesia,Cession,West Irian (Dutch New Guinea),412781,751000,Netherlands
1963,German Federal Republic,Cession,Netherlands,1,0,Netherlands
1963,Pakistan,Cession,China,1942,9136,China
1963,Kenya,Independence,Kenya,582646,8847000,United Kingdom
1963,Zanzibar,Independence,Zanzibar,2642,329000,United Kingdom
1964,Tanzania,Unification,Zanzibar,942003,11400000,Zanzibar
1964,Zambia,Independence,Zambia,751936,3600000,United Kingdom
1964,Malawi,Independence,Malawi,119311,3845000,United Kingdom
1964,Malta,Independence,Malta,316,324000,United Kingdom
1965,Maldives,Independence,Maldives,298,98000,United Kingdom
1965,Saudi Arabia,Cession,Jordan,750,750,Jordan
1965,Jordan,Cession,Saudi Arabia,750,750,Saudi Arabia
1965,Gambia,Independence,Gambia,10368,330000,United Kingdom
1965,Singapore,Secession,Singapore,583,1865000,Malaysia
1966,Botswana,Independence,Botswana,575000,667000,United Kingdom
1966,Guyana,Independence,Guyana,210000,714223,United Kingdom
1966,Lesotho,Independence,Lesotho,30340,1080857,United Kingdom
1966,Barbados,Independence,Barbados,430,238000,United Kingdom
1967,Oman,Cession,Oman,73,85,United Kingdom
1967,Israel,Conquest,Egypt,53242,418800,Egypt
1967,Israel,Conquest,Syria,1710,60000,Syria
1967,Israel,Conquest,Jordan,5878,674500,Jordan
1967,Yemen Peoples Republic,Independence,Yemen Peoples Republic,160300,1250000,United Kingdom
1968,Nauru,Independence,Nauru,22,6603,Australia
1968,Japan,Cession,Bonin Is.,100,0,United States of America
1968,Pakistan,Cession,India,780,187200,India
1968,India,Cession,Pakistan,7000,0,Pakistan
1968,Swaziland,Independence,Swaziland,17400,442195,United Kingdom
1968,Mauritius,Independence,Mauritius,1865,830700,United Kingdom
1968,Equatorial Guinea,Independence,Equatorial Guinea,28051,290000,Spain
1969,Morocco,Cession,Ifni,1505,51517,Spain
1969,Kuwait,Cession,Saudi Arabia,2850,2080,Saudi Arabia
1969,Saudi Arabia,Cession,Kuwait,2850,2080,Kuwait
1970,Tonga,Independence,Tonga,700,87406,United Kingdom
1970,Fiji,Independence,Fiji,18272,524457,United Kingdom
1971,United Arab Emirates,Unification,United Arab Emirates,90410,154656,United Arab Emirates
1971,Bangladesh,Secession,Bangladesh,144020,71300000,Pakistan
1971,Nicaragua,Cession,Nicaragua,6,2116,United States of America
1971,Iran,Conquest,United Arab Emirates,1,100,United Arab Emirates
1971,Iran,Annexation,United Arab Emirates,1,100,United Arab Emirates
1971,Pakistan,Conquest,India,315,75600,India
1971,India,Conquest,Pakistan,13361,5000000,Pakistan
1971,Qatar,Independence,Qatar,11000,160000,United Kingdom
1971,Bahrain,Independence,Bahrain,723,216815,United Kingdom
1972,Japan,Cession,Abuja,848,934176,United States of America
1972,Honduras,Cession,Honduras,3,0,United States of America
1972,Yemen Arab Republic,Annexation,Yemen Peoples Republic,182,1000,Yemen Peoples Republic
1972,United Arab Emirates,Unification,United Arab Emirates,1690,24482,United Arab Emirates
1972,Pakistan,Cession,Pakistan,14609,3506160,India
1972,India,Cession,India,179,0,Pakistan
1973,Libya,Conquest,Chad,78000,78000,Chad
1973,Israel,Conquest,Syria,780,15000,Syria
1973,Bahamas,Independence,Bahamas,13864,168812,United Kingdom
1974,Turkey,Conquest,Cyprus,3640,250000,Cyprus
1974,Egypt,Cession,Egypt,1000,1000,Israel
1974,Sri Lanka,Cession,India,1,100,India
1974,Grenada,Independence,Grenada,344,107779,United Kingdom
1974,Guinea-Bissau,Independence,Guinea-Bissau,36125,487448,Portugal
1975,Saudi Arabia,Cession,Iraq,3500,2000,Iraq
1975,Egypt,Cession,Egypt,20000,2000,Israel
1975,Iraq,Cession,Saudi Arabia,3500,0,Saudi Arabia
1975,Vietnam,Conquest,Republic of Vietnam,174481,18300000,Republic of Vietnam
1975,Suriname,Independence,Suriname,163265,414000,Netherlands
1975,Comoros,Independence,Comoros,1862,252000,France
1975,Angola,Independence,Angola,1246700,5673046,Portugal
1975,Mozambique,Independence,Mozambique,784961,8233834,Portugal
1975,Cape Verde,Independence,Cape Verde,4033,272071,Portugal
1975,Sao Tome and Principe,Independence,Sao Tome and Principe,964,76430,Portugal
1975,Papua New Guinea,Independence,Papua New Guinea,462840,2600000,Australia
1976,Seychelles,Cession,British Indian Ocean Territory,27,0,United Kingdom
1976,Morocco,Cession,Spanish Sahara,177667,0,Spain
1976,Mauritania,Cession,Spanish Sahara,88667,0,Spain
1976,Indonesia,Conquest,East Timor,14984,610541,Portugal
1976,France,Secession,Mayotte,374,38000,Comoros
1976,Syria,Cession,Syria,780,0,Israel
1976,Seychelles,Independence,Seychelles,404,59000,United Kingdom
1977,Djibouti,Independence,Djibouti,23000,300000,France
1978,Tuvalu,Independence,Tuvalu,24,5887,United Kingdom
1978,Panama,Cession,Panama Canal Zone,1676,41800,United States of America
1978,Solomon Islands,Independence,Solomon Islands,29785,196823,United Kingdom
1978,Dominica,Independence,Dominica,728,78000,United Kingdom
1979,Kiribati,Independence,Kiribati,572,57816,United Kingdom
1979,St. Vincent and the Grenadines,Independence,St. Vincent and the Grenadines,389,120000,United Kingdom
1979,Egypt,Cession,Egypt,20000,2000,Israel
1979,St. Lucia,Independence,St. Lucia,616,121000,United Kingdom
1980,Vanuatu,Independence,Vanuatu,14760,97468,France
1980,Morocco,Cession,Mauritania,88667,100000,Mauritania
1980,Zimbabwe,Independence,Zimbabwe,390622,7360000,United Kingdom
1981,Colombia,Cession,Quita Sueno Bank,10,0,United States of America
1981,Belize,Independence,Belize,22800,148300,United Kingdom
1981,Antigua & Barbuda,Independence,Antigua & Barbuda,440,77000,United Kingdom
1983,St. Kitts and Nevis,Independence,St. Kitts and Nevis,360,44500,United Kingdom
1984,Brunei,Independence,Brunei,5270,215000,United Kingdom
1986,Federated States of Micronesia,Independence,Federated States of Micronesia,702,95000,United States of America
1986,Marshall Islands,Independence,Marshall Islands,181,40000,United States of America
1986,Mali,Cession,Burkina Faso,1553,65000,Burkina Faso
1989,Egypt,Cession,Israel,1,0,Israel
1990,Germany,Unification,German Democratic Republic,108333,16600000,German Democratic Republic
1990,Yemen,Unification,Yemen Peoples Republic,329111,2488000,Yemen Peoples Republic
1990,Namibia,Independence,Namibia,823290,1372000,South Africa
1991,Croatia,Secession,Croatia,56410,4763000,Yugoslavia
1991,Slovenia,Secession,Slovenia,20256,1974000,Yugoslavia
1991,Kazakhstan,Secession,Kazakhstan,2717300,16700000,Russia
1991,Ukraine,Secession,Ukraine,603700,52000000,Russia
1991,Turkmenistan,Secession,Turkmenistan,488100,3600000,Russia
1991,Uzbekistan,Secession,Uzbekistan,447400,20300000,Russia
1991,Belarus,Secession,Belarus,207600,10200000,Russia
1991,Kyrgyzstan,Secession,Kyrgyzstan,198500,4375000,Russia
1991,Tajikistan,Secession,Tajikistan,143100,5250000,Russia
1991,Azerbaijan,Secession,Azerbaijan,86600,7200000,Russia
1991,Georgia,Secession,Georgia,69700,5500000,Russia
1991,Lithuania,Secession,Lithuania,65301,3754000,Russia
1991,Latvia,Secession,Latvia,64610,2600000,Russia
1991,Estonia,Secession,Estonia,45227,1581000,Russia
1991,Moldova,Secession,Moldova,33700,4350000,Russia
1991,Armenia,Secession,Armenia,28400,3450000,Russia
1992,Oman,Cession,Yemen,1250,0,Yemen
1992,Yemen,Cession,Oman,1875,0,Oman
1992,Bangladesh,Cession,Tin Bigha,1,20,India
1992,Bosnia and Herzegovina,Secession,Bosnia and Herzegovina,51107,4455000,Yugoslavia
1993,Czech Republic,Secession,Czech Republic,79228,10300000,Czechoslovakia
1993,Slovakia,Secession,Slovakia,48666,5200000,Czechoslovakia
1993,Macedonia,Secession,Macedonia,24856,2109000,Yugoslavia
1993,Eritrea,Secession,Eritrea,124993,3000000,Ethiopia
1994,Namibia,Cession,Walvis Bay,1124,30000,South Africa
1994,Palau,Independence,U. S. Pacific Trust Territories,487,15600,United States of America
1995,Jordan,Cession,Israel,340,0,Israel
1996,China,Cession,Russia,18,0,Russia
1997,China,Cession,Hong Kong,1084,6700000,United Kingdom
1997,Slovakia,Cession,Czech Republic,4052,120,Czech Republic
1997,Czech Republic,Cession,Slovakia,4052,31,Slovakia
1998,Ukraine,Cession,Moldova,1,0,Moldova
1998,Moldova,Cession,Ukraine,1,0,Ukraine
1998,China,Cession,Kazakhstan,470,0,Kazakhstan
1999,Botswana,Cession,Botswana,5,0,Namibia
1999,China,Cession,Macao,21045,447000,Portugal
1999,Estonia,Cession,Russia,30,0,Russia
1999,Russia,Cession,Estonia,30,0,Estonia
2000,Egypt,Conquest,Sudan,20580,5000,Sudan
2004,Yemen,Cession,Saudi Arabia,40000,0,Saudi Arabia
2006,Montenegro,Secession,Montenegro,13812,650000,Yugoslavia
2008,China,Cession,Russia,174,0,Russia
2008,Cameroon,Cession,Nigeria,665,300000,Nigeria
2008,Kosovo,Independence,Kosovo,10887,1747383,Yugoslavia
2011,China,Cession,Tajikistan,1142,0,Tajikistan
2011,South Sudan,Independence,South Sudan,619745,8260000,Sudan
2014,Russia,Conquest,Ukraine,27000,2400000,Ukraine
2015,Bangladesh,Independence,Bangladesh,28077,51000,India
2015,India,Independence,India,69044,51000,Bangladesh
